"url","product","price","rating","reviews","vProductName....vivinoProductName.1.","vUrl....vivinoURL"
"/en/wine/pegasus-bay-pinot-noir-2016/p/BP_344463","Pegasus Bay Pinot Noir 2016",298,4,143,"PegasusBayPinotNoir2016","https://www.vivino.com/search/wines?q=Pegasus+Bay+Pinot+Noir+2016"
"/en/wine/bay-of-fires-pinot-noir-2018/p/BP_392225","Bay Of Fires Pinot Noir 2018",298,4.1,44,"BayofFiresPinotNoir2018","https://www.vivino.com/search/wines?q=Bay+Of+Fires+Pinot+Noir+2018"
"/en/wine/stoney-vineyard-cabernet-sauvignon-2016/p/BP_392666","Stoney Vineyard Cabernet Sauvignon 2016",298,4.3,14,"Domaine A StoneyVineyardCabernetSauvignon2016","https://www.vivino.com/search/wines?q=Stoney+Vineyard+Cabernet+Sauvignon+2016"
"/en/wine/trefethen-estate-merlot-2015/p/BP_135382","Trefethen Estate Merlot 2015",298,3.7,916,"Beringer Founders' EstateMerlot2015","https://www.vivino.com/search/wines?q=Trefethen+Estate+Merlot+2015"
"/en/wine/fromm-naturel-pinot-2018/p/BP_328839","Fromm Naturel Pinot 2018",298,3.5,47,"Fromm Winery PinotNaturel2018","https://www.vivino.com/search/wines?q=Fromm+Naturel+Pinot+2018"
"/en/wine/remelluri-remelluri-reserva-2012/p/BP_333747","Remelluri Remelluri Reserva 2012",298,4.1,867,"Remelluri Rioja Reserva2012","https://www.vivino.com/search/wines?q=Remelluri+Remelluri+Reserva+2012"
"/en/wine/denton-yarra-valley-pinot-noir-2017/p/BP_355980","Denton Yarra Valley Pinot Noir 2017",298,3.5,22,"Denton View Hill PinotNoir2017","https://www.vivino.com/search/wines?q=Denton+Yarra+Valley+Pinot+Noir+2017"
"/en/wine/denton-yarra-valley-nebbiolo-2016/p/BP_356008","Denton Yarra Valley Nebbiolo 2016",298,3.8,29,"Denton View Hill Nebbiolo2016","https://www.vivino.com/search/wines?q=Denton+Yarra+Valley+Nebbiolo+2016"
"/en/wine/brancaia-chianti-classico-riserva-2013/p/BP_341527","Brancaia Chianti Classico Riserva 2013",298,3.9,1164,"BrancaiaChiantiClassicoRiserva2013","https://www.vivino.com/search/wines?q=Brancaia+Chianti+Classico+Riserva+2013"
"/en/wine/grant-burge-the-holy-trinity-gsm-2015/p/BP_381791","Grant Burge The Holy Trinity GSM 2015",298,3.8,31,"GrantBurgeTheHolyTrinity Red Blend 2015","https://www.vivino.com/search/wines?q=Grant+Burge+The+Holy+Trinity+GSM+2015"
"/en/wine/enrique-mendoza-las-quebradas-2016/p/BP_373494","Enrique Mendoza Las Quebradas 2016",298,4,211,"EnriqueMendozaLasQuebradas Monastrell 2016","https://www.vivino.com/search/wines?q=Enrique+Mendoza+Las+Quebradas+2016"
"/en/wine/zuccardi-jose-zuccardi-malbec-2015/p/BP_392243","Zuccardi Jose Zuccardi Malbec 2015",298,4.1,618,"ZuccardiJoséMalbec2015","https://www.vivino.com/search/wines?q=Zuccardi+Jose+Zuccardi+Malbec+2015"
"/en/wine/grant-burge-filsell-old-vine-shiraz-2016/p/BP_381778","Grant Burge Filsell Old Vine Shiraz 2016",298,4,628,"GrantBurgeFilsellShiraz2016","https://www.vivino.com/search/wines?q=Grant+Burge+Filsell+Old+Vine+Shiraz+2016"
"/en/wine/talley-estate-arroyo-grande-valley-pinot-noir-2016/p/BP_182064","Talley Estate Arroyo Grande Valley Pinot Noir 2016",298,4.1,146,"Talley Vineyards EstatePinotNoir2016","https://www.vivino.com/search/wines?q=Talley+Estate+Arroyo+Grande+Valley+Pinot+Noir+2016"
