"url","product","price","rating","reviews","vProductName....vivinoProductName.1.","vUrl....vivinoURL"
"/en/wine/yalumba-the-signature-barossa-cabernet-sauvignon-shiraz-2015/p/BP_392277","Yalumba The Signature Barossa Cabernet Sauvignon Shiraz 2015",538,3.6,522,"YalumbaTheSignatureCabernetSauvignon - Shiraz2015","https://www.vivino.com/search/wines?q=Yalumba+The+Signature+Barossa+Cabernet+Sauvignon+Shiraz+2015"
"/en/wine/lingua-franca-estate-pinot-noir-2017/p/BP_399091","Lingua Franca Estate Pinot Noir 2017",538,4.2,60,"LinguaFrancaLinguaFrancaEstatePinotNoir2017","https://www.vivino.com/search/wines?q=Lingua+Franca+Estate+Pinot+Noir+2017"
"/en/wine/david-duband-morey-st-denis-1er-cru-aux-chezeaux-2012/p/BP_423333","David Duband Morey St Denis 1er Cru Aux Chezeaux 2012",540,NA,10,"DavidDubandMorey-Saint-Denis Premier Cru 'AuxChezeaux' 2012","https://www.vivino.com/search/wines?q=David+Duband+Morey+St+Denis+1er+Cru+Aux+Chezeaux+2012"
"/en/wine/prieure-lichine-margaux-4eme-cru-2011/p/BP_367868","Prieure Lichine Margaux 4eme Cru 2011",540,4.1,740,"Château Prieuré-LichineMargaux (Grand Cru Classé) 2011","https://www.vivino.com/search/wines?q=Prieure+Lichine+Margaux+4eme+Cru+2011"
"/en/wine/darenberg-darrys-original-shiraz-grenache-2016-6-bottle-pack/p/BP_404804","d'Arenberg d'Arry's Original Shiraz Grenache 2016 - 6 Bottle Pack",540,3.7,4082,"d'Arenbergd'Arry'sOriginalShiraz-Grenache","https://www.vivino.com/search/wines?q=d'Arenberg+d'Arry's+Original+Shiraz+Grenache+2016+-+6+Bottle+Pack"
"/en/wine/ollauri-conde-de-los-andes-1998/p/BP_341452","Ollauri Conde de los Andes 1998",548,3.3,13,"CondedeLosAndes Rioja 1998","https://www.vivino.com/search/wines?q=Ollauri+Conde+de+los+Andes+1998"
"/en/wine/vinedos-de-paganos-el-puntido-rioja-2008/p/BP_462636","Vinedos de Paganos El Puntido Rioja 2008",548,4.3,186,"ViñedosdePáganosElPuntido2008","https://www.vivino.com/search/wines?q=Vinedos+de+Paganos+El+Puntido+Rioja+2008"
"/en/wine/pierre-jean-villa-cote-rotie-carmina-2015/p/BP_483716","Pierre Jean Villa Cote Rotie Carmina 2015",550,4,51,"PierreJeanVillaCarminaCôte-Rôtie2015","https://www.vivino.com/search/wines?q=Pierre+Jean+Villa+Cote+Rotie+Carmina+2015"
"/en/wine/pierre-jean-villa-cote-rotie-carmina-2016/p/BP_303864","Pierre Jean Villa Cote Rotie Carmina 2016",550,4.1,54,"PierreJeanVillaCarminaCôte-Rôtie2016","https://www.vivino.com/search/wines?q=Pierre+Jean+Villa+Cote+Rotie+Carmina+2016"
"/en/wine/moulin-st-georges-st-emilion-gcc-2015/p/BP_460030","Moulin St Georges St Emilion GCC 2015",550,3.9,43,"Château Troquart St-Georges-St-Émilion2015","https://www.vivino.com/search/wines?q=Moulin+St+Georges+St+Emilion+GCC+2015"
"/en/wine/domaine-de-la-janasse-chateauneuf-du-pape-2015/p/BP_306168","Domaine de la Janasse Chateauneuf du Pape 2015",550,4.3,246,"DomainedelaJanasseChâteauneuf-du-Pape Chaupin 2015","https://www.vivino.com/search/wines?q=Domaine+de+la+Janasse+Chateauneuf+du+Pape+2015"
"/en/wine/jean-marc-boillot-pommard-2016/p/BP_124988","Jean Marc Boillot Pommard 2016",550,NA,26,"Domaine Jean-Marc Bouley Pommard2016","https://www.vivino.com/search/wines?q=Jean+Marc+Boillot+Pommard+2016"
"/en/wine/petit-figeac-st-emilion-2nd-wine-2015/p/BP_495208","Petit Figeac St Emilion 2nd Wine 2015",550,NA,275,"Prats Freres Château Petit-FigeacSt-Émilion Grand Cru 2015","https://www.vivino.com/search/wines?q=Petit+Figeac+St+Emilion+2nd+Wine+2015"
"/en/wine/fattoria-dei-barbi-brunello-di-montalcino-2014/p/BP_390473","Fattoria dei Barbi Brunello di Montalcino 2014",558,4,612,"FattoriadeiBarbiBrunellodiMontalcino2014","https://www.vivino.com/search/wines?q=Fattoria+dei+Barbi+Brunello+di+Montalcino+2014"
